GRID_Xe=343
GRID_Xv=173
Process uses GPU with id 0.
Starting PT loop, nbe=87653, nbv=44229
iter=24300, err=0.471804
iter=24400, err=0.470898
iter=24500, err=0.469994
iter=24600, err=0.469092
iter=24700, err=0.468193
iter=24800, err=0.467295
iter=24900, err=0.4664
iter=25000, err=0.465506
iter=25100, err=0.464616
iter=25200, err=0.463727
iter=25300, err=0.462841
iter=25400, err=0.461957
iter=25500, err=0.461075
iter=25600, err=0.460196
iter=25700, err=0.459319
iter=25800, err=0.458445
iter=25900, err=0.457573
iter=26000, err=0.456704
iter=26100, err=0.455838
iter=26200, err=0.454973
iter=26300, err=0.454112
iter=26400, err=0.453253
iter=26500, err=0.452397
iter=26600, err=0.451543
iter=26700, err=0.450692
iter=26800, err=0.449844
iter=26900, err=0.448999
iter=27000, err=0.448156
iter=27100, err=0.447316
iter=27200, err=0.446479
iter=27300, err=0.445644
iter=27400, err=0.444812
iter=27500, err=0.443983
iter=27600, err=0.443157
iter=27700, err=0.442334
iter=27800, err=0.441513
iter=27900, err=0.440695
iter=28000, err=0.439881
iter=28100, err=0.439068
iter=28200, err=0.438259
iter=28300, err=0.437453
iter=28400, err=0.436649
iter=28500, err=0.435849
iter=28600, err=0.435051
iter=28700, err=0.434256
iter=28800, err=0.433464
iter=28900, err=0.432675
iter=29000, err=0.431888
iter=29100, err=0.431105
iter=29200, err=0.430324
iter=29300, err=0.429547
iter=29400, err=0.428772
iter=29500, err=0.428
iter=29600, err=0.427231
iter=29700, err=0.426465
iter=29800, err=0.425702
iter=29900, err=0.424941
iter=30000, err=0.424184
iter=30100, err=0.423429
iter=30200, err=0.422677
iter=30300, err=0.421928
iter=30400, err=0.421182
iter=30500, err=0.420439
iter=30600, err=0.419698
iter=30700, err=0.418961
iter=30800, err=0.418226
iter=30900, err=0.417494
iter=31000, err=0.416765
iter=31100, err=0.416039
iter=31200, err=0.415315
iter=31300, err=0.414595
iter=31400, err=0.413877
iter=31500, err=0.413162
iter=31600, err=0.412449
iter=31700, err=0.41174
iter=31800, err=0.411033
iter=31900, err=0.410329
iter=32000, err=0.409628
iter=32100, err=0.40893
iter=32200, err=0.408234
iter=32300, err=0.407541
iter=32400, err=0.406851
iter=32500, err=0.406163
iter=32600, err=0.405478
iter=32700, err=0.404796
iter=32800, err=0.404117
iter=32900, err=0.40344
iter=33000, err=0.402766
iter=33100, err=0.402094
iter=33200, err=0.401426
iter=33300, err=0.40076
iter=33400, err=0.400096
iter=33500, err=0.399435
iter=33600, err=0.398777
iter=33700, err=0.398121
iter=33800, err=0.397468
iter=33900, err=0.396817
iter=34000, err=0.396169
iter=34100, err=0.395524
iter=34200, err=0.394881
iter=34300, err=0.394241
iter=34400, err=0.393603
iter=34500, err=0.392968
iter=34600, err=0.392335
iter=34700, err=0.391705
iter=34800, err=0.391077
iter=34900, err=0.390451
iter=35000, err=0.389828
iter=35100, err=0.389208
iter=35200, err=0.38859
iter=35300, err=0.387974
iter=35400, err=0.387361
iter=35500, err=0.38675
iter=35600, err=0.386142
iter=35700, err=0.385536
iter=35800, err=0.384932
iter=35900, err=0.384331
iter=36000, err=0.383732
iter=36100, err=0.383135
iter=36200, err=0.382541
iter=36300, err=0.381949
iter=36400, err=0.381359
iter=36500, err=0.380772
iter=36600, err=0.380187
iter=36700, err=0.379604
iter=36800, err=0.379023
iter=36900, err=0.378445
iter=37000, err=0.377869
iter=37100, err=0.377295
iter=37200, err=0.376723
iter=37300, err=0.376154
iter=37400, err=0.375587
iter=37500, err=0.375021
iter=37600, err=0.374459
iter=37700, err=0.373898
iter=37800, err=0.373339
iter=37900, err=0.372782
iter=38000, err=0.372228
iter=38100, err=0.371676
iter=38200, err=0.371125
iter=38300, err=0.370577
iter=38400, err=0.370031
iter=38500, err=0.369487
iter=38600, err=0.368945
iter=38700, err=0.368405
iter=38800, err=0.367867
iter=38900, err=0.367332
iter=39000, err=0.366798
iter=39100, err=0.366266
iter=39200, err=0.365736
iter=39300, err=0.365208
iter=39400, err=0.364682
iter=39500, err=0.364158
iter=39600, err=0.363636
iter=39700, err=0.363116
iter=39800, err=0.362598
iter=39900, err=0.362081
iter=40000, err=0.361567
iter=40100, err=0.361054
iter=40200, err=0.360544
iter=40300, err=0.360035
iter=40400, err=0.359528
iter=40500, err=0.359023
iter=40600, err=0.35852
iter=40700, err=0.358018
iter=40800, err=0.357519
iter=40900, err=0.357021
iter=41000, err=0.356525
iter=41100, err=0.356031
iter=41200, err=0.355538
iter=41300, err=0.355048
iter=41400, err=0.354559
iter=41500, err=0.354071
iter=41600, err=0.353586
iter=41700, err=0.353102
iter=41800, err=0.35262
iter=41900, err=0.35214
iter=42000, err=0.351661
iter=42100, err=0.351184
iter=42200, err=0.350709
iter=42300, err=0.350235
iter=42400, err=0.349764
iter=42500, err=0.349293
iter=42600, err=0.348825
iter=42700, err=0.348357
iter=42800, err=0.347892
iter=42900, err=0.347428
iter=43000, err=0.346966
iter=43100, err=0.346505
iter=43200, err=0.346046
iter=43300, err=0.345589
iter=43400, err=0.345133
iter=43500, err=0.344678
iter=43600, err=0.344225
iter=43700, err=0.343774
iter=43800, err=0.343324
iter=43900, err=0.342876
iter=44000, err=0.342429
iter=44100, err=0.341984
iter=44200, err=0.34154
iter=44300, err=0.341098
iter=44400, err=0.340657
iter=44500, err=0.340217
iter=44600, err=0.339779
iter=44700, err=0.339343
iter=44800, err=0.338908
iter=44900, err=0.338474
iter=45000, err=0.338042
iter=45100, err=0.337611
iter=45200, err=0.337181
iter=45300, err=0.336753
iter=45400, err=0.336327
iter=45500, err=0.335901
iter=45600, err=0.335477
iter=45700, err=0.335055
iter=45800, err=0.334634
iter=45900, err=0.334214
iter=46000, err=0.333795
iter=46100, err=0.333378
iter=46200, err=0.332962
iter=46300, err=0.332547
iter=46400, err=0.332134
iter=46500, err=0.331722
iter=46600, err=0.331311
iter=46700, err=0.330901
iter=46800, err=0.330493
iter=46900, err=0.330086
iter=47000, err=0.32968
iter=47100, err=0.329276
iter=47200, err=0.328873
iter=47300, err=0.328471
iter=47400, err=0.32807
iter=47500, err=0.32767
iter=47600, err=0.327272
iter=47700, err=0.326875
iter=47800, err=0.326479
iter=47900, err=0.326084
iter=48000, err=0.32569
iter=48100, err=0.325298
iter=48200, err=0.324906
iter=48300, err=0.324516
iter=48400, err=0.324127
iter=48500, err=0.323739
iter=48600, err=0.323352
iter=48700, err=0.322967
iter=48800, err=0.322582
iter=48900, err=0.322199
iter=49000, err=0.321816
iter=49100, err=0.321435
iter=49200, err=0.321055
iter=49300, err=0.320676
iter=49400, err=0.320298
iter=49500, err=0.319921
iter=49600, err=0.319545
iter=49700, err=0.31917
iter=49800, err=0.318796
iter=49900, err=0.318423
iter=50000, err=0.318052
iter=50100, err=0.317681
iter=50200, err=0.317311
iter=50300, err=0.316943
iter=50400, err=0.316575
iter=50500, err=0.316208
iter=50600, err=0.315843
iter=50700, err=0.315478
iter=50800, err=0.315114
iter=50900, err=0.314751
iter=51000, err=0.31439
iter=51100, err=0.314029
iter=51200, err=0.313669
iter=51300, err=0.31331
iter=51400, err=0.312952
iter=51500, err=0.312595
iter=51600, err=0.312239
iter=51700, err=0.311883
iter=51800, err=0.311529
iter=51900, err=0.311176
iter=52000, err=0.310823
iter=52100, err=0.310472
iter=52200, err=0.310121
iter=52300, err=0.309771
iter=52400, err=0.309422
iter=52500, err=0.309074
iter=52600, err=0.308727
iter=52700, err=0.308381
iter=52800, err=0.308035
iter=52900, err=0.30769
iter=53000, err=0.307347
iter=53100, err=0.307004
iter=53200, err=0.306661
iter=53300, err=0.30632
iter=53400, err=0.30598
iter=53500, err=0.30564
iter=53600, err=0.305301
iter=53700, err=0.304963
iter=53800, err=0.304626
iter=53900, err=0.304289
iter=54000, err=0.303953
iter=54100, err=0.303619
iter=54200, err=0.303284
iter=54300, err=0.302951
iter=54400, err=0.302618
iter=54500, err=0.302287
iter=54600, err=0.301955
iter=54700, err=0.301625
iter=54800, err=0.301295
iter=54900, err=0.300967
iter=55000, err=0.300638
iter=55100, err=0.300311
iter=55200, err=0.299984
iter=55300, err=0.299658
iter=55400, err=0.299333
iter=55500, err=0.299008
iter=55600, err=0.298685
iter=55700, err=0.298361
iter=55800, err=0.298039
iter=55900, err=0.297717
iter=56000, err=0.297396
iter=56100, err=0.297075
iter=56200, err=0.296756
iter=56300, err=0.296437
iter=56400, err=0.296118
iter=56500, err=0.2958
iter=56600, err=0.295483
iter=56700, err=0.295167
iter=56800, err=0.294851
iter=56900, err=0.294536
iter=57000, err=0.294221
iter=57100, err=0.293907
iter=57200, err=0.293594
iter=57300, err=0.293281
iter=57400, err=0.292969
iter=57500, err=0.292657
iter=57600, err=0.292347
iter=57700, err=0.292036
iter=57800, err=0.291727
iter=57900, err=0.291417
iter=58000, err=0.291109
iter=58100, err=0.290801
iter=58200, err=0.290494
iter=58300, err=0.290187
iter=58400, err=0.289881
iter=58500, err=0.289575
iter=58600, err=0.28927
iter=58700, err=0.288965
iter=58800, err=0.288661
iter=58900, err=0.288358
iter=59000, err=0.288055
iter=59100, err=0.287753
iter=59200, err=0.287451
iter=59300, err=0.28715
iter=59400, err=0.286849
iter=59500, err=0.286549
iter=59600, err=0.286249
iter=59700, err=0.28595
iter=59800, err=0.285651
iter=59900, err=0.285353
iter=60000, err=0.285055
iter=60100, err=0.284758
iter=60200, err=0.284461
iter=60300, err=0.284165
iter=60400, err=0.283869
iter=60500, err=0.283574
iter=60600, err=0.283279
iter=60700, err=0.282985
iter=60800, err=0.282691
iter=60900, err=0.282398
iter=61000, err=0.282105
iter=61100, err=0.281813
iter=61200, err=0.281521
iter=61300, err=0.281229
iter=61400, err=0.280938
iter=61500, err=0.280648
iter=61600, err=0.280358
iter=61700, err=0.280068
iter=61800, err=0.279779
iter=61900, err=0.27949
iter=62000, err=0.279201
iter=62100, err=0.278913
iter=62200, err=0.278626
iter=62300, err=0.278339
iter=62400, err=0.278052
iter=62500, err=0.277766
iter=62600, err=0.27748
iter=62700, err=0.277194
iter=62800, err=0.276909
iter=62900, err=0.276624
iter=63000, err=0.27634
iter=63100, err=0.276056
iter=63200, err=0.275773
iter=63300, err=0.275489
iter=63400, err=0.275207
iter=63500, err=0.274924
iter=63600, err=0.274642
iter=63700, err=0.274361
iter=63800, err=0.274079
iter=63900, err=0.273799
iter=64000, err=0.273518
iter=64100, err=0.273238
iter=64200, err=0.272958
iter=64300, err=0.272679
iter=64400, err=0.2724
iter=64500, err=0.272121
iter=64600, err=0.271842
iter=64700, err=0.271564
iter=64800, err=0.271287
iter=64900, err=0.271009
iter=65000, err=0.270732
iter=65100, err=0.270456
iter=65200, err=0.270179
iter=65300, err=0.269903
iter=65400, err=0.269627
iter=65500, err=0.269352
iter=65600, err=0.269077
iter=65700, err=0.268802
iter=65800, err=0.268528
iter=65900, err=0.268254
iter=66000, err=0.26798
iter=66100, err=0.267706
iter=66200, err=0.267433
iter=66300, err=0.26716
iter=66400, err=0.266888
iter=66500, err=0.266615
iter=66600, err=0.266343
iter=66700, err=0.266072
iter=66800, err=0.2658
iter=66900, err=0.265529
iter=67000, err=0.265258
iter=67100, err=0.264987
iter=67200, err=0.264717
iter=67300, err=0.264447
iter=67400, err=0.264177
iter=67500, err=0.263908
iter=67600, err=0.263639
iter=67700, err=0.26337
iter=67800, err=0.263101
iter=67900, err=0.262833
iter=68000, err=0.262565
iter=68100, err=0.262297
iter=68200, err=0.262029
iter=68300, err=0.261762
iter=68400, err=0.261494
iter=68500, err=0.261228
iter=68600, err=0.260961
iter=68700, err=0.260695
iter=68800, err=0.260428
iter=68900, err=0.260163
iter=69000, err=0.259897
iter=69100, err=0.259632
iter=69200, err=0.259366
iter=69300, err=0.259101
iter=69400, err=0.258837
iter=69500, err=0.258572
iter=69600, err=0.258308
iter=69700, err=0.258044
iter=69800, err=0.25778
iter=69900, err=0.257517
iter=70000, err=0.257253
iter=70100, err=0.25699
iter=70200, err=0.256727
iter=70300, err=0.256465
iter=70400, err=0.256202
iter=70500, err=0.25594
iter=70600, err=0.255678
iter=70700, err=0.255416
iter=70800, err=0.255154
iter=70900, err=0.254893
iter=71000, err=0.254632
iter=71100, err=0.254371
iter=71200, err=0.25411
iter=71300, err=0.253849
iter=71400, err=0.253589
iter=71500, err=0.253329
iter=71600, err=0.253069
iter=71700, err=0.252809
iter=71800, err=0.252549
iter=71900, err=0.25229
iter=72000, err=0.252031
iter=72100, err=0.251772
iter=72200, err=0.251513
iter=72300, err=0.251254
iter=72400, err=0.250996
iter=72500, err=0.250737
iter=72600, err=0.250479
iter=72700, err=0.250221
iter=72800, err=0.249964
iter=72900, err=0.249706
iter=73000, err=0.249449
iter=73100, err=0.249191
iter=73200, err=0.248934
iter=73300, err=0.248677
iter=73400, err=0.248421
iter=73500, err=0.248164
iter=73600, err=0.247908
iter=73700, err=0.247652
iter=73800, err=0.247396
iter=73900, err=0.24714
iter=74000, err=0.246884
iter=74100, err=0.246628
iter=74200, err=0.246373
iter=74300, err=0.246118
iter=74400, err=0.245863
iter=74500, err=0.245608
iter=74600, err=0.245353
iter=74700, err=0.245098
iter=74800, err=0.244844
iter=74900, err=0.24459
iter=75000, err=0.244336
iter=75100, err=0.244082
iter=75200, err=0.243828
iter=75300, err=0.243574
iter=75400, err=0.243321
iter=75500, err=0.243067
iter=75600, err=0.242814
iter=75700, err=0.242561
iter=75800, err=0.242308
iter=75900, err=0.242055
iter=76000, err=0.241803
iter=76100, err=0.24155
iter=76200, err=0.241298
iter=76300, err=0.241046
iter=76400, err=0.240793
iter=76500, err=0.240542
iter=76600, err=0.24029
iter=76700, err=0.240038
iter=76800, err=0.239787
iter=76900, err=0.239535
iter=77000, err=0.239284
iter=77100, err=0.239033
iter=77200, err=0.238782
iter=77300, err=0.238531
iter=77400, err=0.23828
iter=77500, err=0.23803
iter=77600, err=0.237779
iter=77700, err=0.237529
iter=77800, err=0.237279
iter=77900, err=0.237029
iter=78000, err=0.236779
iter=78100, err=0.236529
iter=78200, err=0.236279
iter=78300, err=0.23603
iter=78400, err=0.235781
iter=78500, err=0.235531
iter=78600, err=0.235282
