GRID_Xe=343
GRID_Xv=173
Process uses GPU with id 0.
Starting PT loop, nbe=87653, nbv=44229
iter=100, err=12.2306
iter=200, err=15.2019
iter=300, err=5.38414
iter=400, err=5.2698
iter=500, err=5.58819
iter=600, err=5.69138
iter=700, err=5.62818
iter=800, err=5.47535
iter=900, err=5.27881
iter=1000, err=5.06576
iter=1100, err=4.85217
iter=1200, err=4.64694
iter=1300, err=4.45449
iter=1400, err=4.27655
iter=1500, err=4.11322
iter=1600, err=3.96376
iter=1700, err=3.82705
iter=1800, err=3.70181
iter=1900, err=3.5868
iter=2000, err=3.48084
iter=2100, err=3.38288
iter=2200, err=3.29195
iter=2300, err=3.20721
iter=2400, err=3.12791
iter=2500, err=3.05338
iter=2600, err=2.98303
iter=2700, err=2.91632
iter=2800, err=2.85277
iter=2900, err=2.79195
iter=3000, err=2.7335
iter=3100, err=2.67706
iter=3200, err=2.62234
iter=3300, err=2.56908
iter=3400, err=2.51706
iter=3500, err=2.46609
iter=3600, err=2.416
iter=3700, err=2.36667
iter=3800, err=2.31798
iter=3900, err=2.26987
iter=4000, err=2.22225
iter=4100, err=2.1751
iter=4200, err=2.12839
iter=4300, err=2.08209
iter=4400, err=2.0362
iter=4500, err=1.99073
iter=4600, err=1.94569
iter=4700, err=1.9011
iter=4800, err=1.85697
iter=4900, err=1.81334
iter=5000, err=1.77022
iter=5100, err=1.72764
iter=5200, err=1.68563
iter=5300, err=1.64422
iter=5400, err=1.60343
iter=5500, err=1.56328
iter=5600, err=1.5238
iter=5700, err=1.485
iter=5800, err=1.44691
iter=5900, err=1.40954
iter=6000, err=1.3729
iter=6100, err=1.33701
iter=6200, err=1.30188
iter=6300, err=1.26751
iter=6400, err=1.23391
iter=6500, err=1.20108
iter=6600, err=1.16902
iter=6700, err=1.13773
iter=6800, err=1.10721
iter=6900, err=1.13296
iter=7000, err=1.04846
iter=7100, err=1.02022
iter=7200, err=0.992719
iter=7300, err=1.09036
iter=7400, err=0.939906
iter=7500, err=0.914572
iter=7600, err=0.926188
iter=7700, err=1.05069
iter=7800, err=0.842709
iter=7900, err=0.838437
iter=8000, err=1.03639
iter=8100, err=0.776766
iter=8200, err=0.973725
iter=8300, err=0.768513
iter=8400, err=0.92224
iter=8500, err=0.759302
iter=8600, err=0.916745
iter=8700, err=0.758175
iter=8800, err=0.846836
iter=8900, err=0.792518
iter=9000, err=0.793082
iter=9100, err=0.787278
iter=9200, err=0.772566
iter=9300, err=0.767068
iter=9400, err=0.756132
iter=9500, err=0.747741
iter=9600, err=0.738388
iter=9700, err=0.729401
iter=9800, err=0.720344
iter=9900, err=0.733286
iter=10000, err=0.737677
iter=10100, err=0.734928
iter=10200, err=0.729513
iter=10300, err=0.722637
iter=10400, err=0.714892
iter=10500, err=0.706493
iter=10600, err=0.697507
iter=10700, err=0.687924
iter=10800, err=0.677695
iter=10900, err=0.666742
iter=11000, err=0.654961
iter=11100, err=0.642228
iter=11200, err=0.628389
iter=11300, err=0.613255
iter=11400, err=0.596602
iter=11500, err=0.57816
iter=11600, err=0.570033
iter=11700, err=0.56223
iter=11800, err=0.554461
iter=11900, err=0.546725
iter=12000, err=0.548037
iter=12100, err=0.549984
iter=12200, err=0.551879
iter=12300, err=0.553721
iter=12400, err=0.555508
iter=12500, err=0.557239
iter=12600, err=0.558913
iter=12700, err=0.560527
iter=12800, err=0.562079
iter=12900, err=0.563564
iter=13000, err=0.564978
iter=13100, err=0.566315
iter=13200, err=0.567565
iter=13300, err=0.568718
iter=13400, err=0.569755
iter=13500, err=0.570651
iter=13600, err=0.571365
iter=13700, err=0.571831
iter=13800, err=0.571924
iter=13900, err=0.571401
iter=14000, err=0.569686
iter=14100, err=0.565099
iter=14200, err=0.550557
iter=14300, err=0.46331
iter=14400, err=0.360069
iter=14500, err=0.353171
iter=14600, err=0.346353
iter=14700, err=0.339618
iter=14800, err=0.332966
iter=14900, err=0.326402
iter=15000, err=0.319925
iter=15100, err=0.313538
iter=15200, err=0.307242
iter=15300, err=0.301038
iter=15400, err=0.294927
iter=15500, err=0.288909
iter=15600, err=0.282985
iter=15700, err=0.277156
iter=15800, err=0.27142
iter=15900, err=0.265779
iter=16000, err=0.260232
iter=16100, err=0.25478
iter=16200, err=0.249421
iter=16300, err=0.244155
iter=16400, err=0.238982
iter=16500, err=0.233902
iter=16600, err=0.228913
iter=16700, err=0.224015
iter=16800, err=0.219207
iter=16900, err=0.214488
iter=17000, err=0.209858
iter=17100, err=0.205315
iter=17200, err=0.200859
iter=17300, err=0.196488
iter=17400, err=0.192202
iter=17500, err=0.187999
iter=17600, err=0.183878
iter=17700, err=0.179839
iter=17800, err=0.17588
iter=17900, err=0.172
iter=18000, err=0.168198
iter=18100, err=0.164472
iter=18200, err=0.160822
iter=18300, err=0.157247
iter=18400, err=0.153745
iter=18500, err=0.150315
iter=18600, err=0.146955
iter=18700, err=0.143666
iter=18800, err=0.140445
iter=18900, err=0.137292
iter=19000, err=0.134204
iter=19100, err=0.131182
iter=19200, err=0.128224
iter=19300, err=0.125329
iter=19400, err=0.122495
iter=19500, err=0.119722
iter=19600, err=0.117008
iter=19700, err=0.114353
iter=19800, err=0.111754
iter=19900, err=0.109212
iter=20000, err=0.106726
iter=20100, err=0.104293
iter=20200, err=0.101913
iter=20300, err=0.0995848
iter=20400, err=0.0973078
iter=20500, err=0.0950808
iter=20600, err=0.0929027
iter=20700, err=0.0907726
iter=20800, err=0.0886894
iter=20900, err=0.0866524
iter=21000, err=0.0846604
iter=21100, err=0.0827127
iter=21200, err=0.0808082
iter=21300, err=0.0789462
iter=21400, err=0.0771257
iter=21500, err=0.0753459
iter=21600, err=0.0736059
iter=21700, err=0.0719049
iter=21800, err=0.0702421
iter=21900, err=0.0686166
iter=22000, err=0.0670277
iter=22100, err=0.0654747
iter=22200, err=0.0639566
iter=22300, err=0.0624729
iter=22400, err=0.0610227
iter=22500, err=0.0596054
iter=22600, err=0.0582202
iter=22700, err=0.0568665
iter=22800, err=0.0555435
iter=22900, err=0.0542506
iter=23000, err=0.0529871
iter=23100, err=0.0517525
iter=23200, err=0.050546
iter=23300, err=0.0493671
iter=23400, err=0.0482151
iter=23500, err=0.0470895
iter=23600, err=0.0459896
iter=23700, err=0.044915
iter=23800, err=0.043865
iter=23900, err=0.0428391
iter=24000, err=0.0418368
iter=24100, err=0.0409976
iter=24200, err=0.0404521
iter=24300, err=0.0399132
iter=24400, err=0.039381
iter=24500, err=0.0388555
iter=24600, err=0.0383364
iter=24700, err=0.0378239
iter=24800, err=0.0373177
iter=24900, err=0.0368179
iter=25000, err=0.0363244
iter=25100, err=0.035837
iter=25200, err=0.0353559
iter=25300, err=0.0348807
iter=25400, err=0.0344117
iter=25500, err=0.0339485
iter=25600, err=0.0334913
iter=25700, err=0.0330398
iter=25800, err=0.0325942
iter=25900, err=0.0321542
iter=26000, err=0.0317198
iter=26100, err=0.0312911
iter=26200, err=0.0308678
iter=26300, err=0.03045
iter=26400, err=0.0300376
iter=26500, err=0.0296305
iter=26600, err=0.0292286
iter=26700, err=0.028832
iter=26800, err=0.0284405
iter=26900, err=0.0280541
iter=27000, err=0.0276727
iter=27100, err=0.0272963
iter=27200, err=0.0269248
iter=27300, err=0.0265582
iter=27400, err=0.0261963
iter=27500, err=0.0258392
iter=27600, err=0.0254868
iter=27700, err=0.025139
iter=27800, err=0.0247957
iter=27900, err=0.024457
iter=28000, err=0.0241228
iter=28100, err=0.0237929
iter=28200, err=0.0234674
iter=28300, err=0.0231463
iter=28400, err=0.0228293
iter=28500, err=0.0225166
iter=28600, err=0.022208
iter=28700, err=0.0219036
iter=28800, err=0.0216031
iter=28900, err=0.0213067
iter=29000, err=0.0210142
iter=29100, err=0.0207256
iter=29200, err=0.0204409
iter=29300, err=0.0201599
iter=29400, err=0.0198828
iter=29500, err=0.0196093
iter=29600, err=0.0193395
iter=29700, err=0.0190733
iter=29800, err=0.0188107
iter=29900, err=0.0185516
iter=30000, err=0.018296
iter=30100, err=0.0180438
iter=30200, err=0.017795
iter=30300, err=0.0175496
iter=30400, err=0.0173074
iter=30500, err=0.0170686
iter=30600, err=0.0168329
iter=30700, err=0.0166005
iter=30800, err=0.0163712
iter=30900, err=0.016145
iter=31000, err=0.0159218
iter=31100, err=0.0157017
iter=31200, err=0.0154845
iter=31300, err=0.0152703
iter=31400, err=0.015059
iter=31500, err=0.0148506
iter=31600, err=0.014645
iter=31700, err=0.0144422
iter=31800, err=0.0142422
iter=31900, err=0.0140448
iter=32000, err=0.0138502
iter=32100, err=0.0136582
iter=32200, err=0.0134689
iter=32300, err=0.0132821
iter=32400, err=0.0130978
iter=32500, err=0.0129161
iter=32600, err=0.0127369
iter=32700, err=0.0125601
iter=32800, err=0.0123857
iter=32900, err=0.0122137
iter=33000, err=0.0120441
iter=33100, err=0.0118768
iter=33200, err=0.0117118
iter=33300, err=0.011549
iter=33400, err=0.0113885
iter=33500, err=0.0112301
iter=33600, err=0.011074
iter=33700, err=0.01092
iter=33800, err=0.0107681
iter=33900, err=0.0106183
iter=34000, err=0.0104705
iter=34100, err=0.0103248
iter=34200, err=0.0101811
iter=34300, err=0.0100393
iter=34400, err=0.00989955
iter=34500, err=0.00976169
iter=34600, err=0.00962572
iter=34700, err=0.00949163
iter=34800, err=0.00935938
iter=34900, err=0.00922896
iter=35000, err=0.00910034
iter=35100, err=0.00897349
iter=35200, err=0.00884839
iter=35300, err=0.00872502
iter=35400, err=0.00860335
iter=35500, err=0.00848336
iter=35600, err=0.00836503
iter=35700, err=0.00824833
iter=35800, err=0.00813325
iter=35900, err=0.00801976
iter=36000, err=0.00790784
iter=36100, err=0.00779746
iter=36200, err=0.00768862
iter=36300, err=0.00758128
iter=36400, err=0.00747543
iter=36500, err=0.00737104
iter=36600, err=0.0072681
iter=36700, err=0.00716658
iter=36800, err=0.00706648
iter=36900, err=0.00696776
iter=37000, err=0.00687041
iter=37100, err=0.0067744
iter=37200, err=0.00667974
iter=37300, err=0.00658638
iter=37400, err=0.00649432
iter=37500, err=0.00640354
iter=37600, err=0.00631402
iter=37700, err=0.00622574
iter=37800, err=0.00613868
iter=37900, err=0.00605284
iter=38000, err=0.00596819
iter=38100, err=0.00588472
iter=38200, err=0.0058024
iter=38300, err=0.00572123
iter=38400, err=0.00564119
iter=38500, err=0.00556227
iter=38600, err=0.00548444
iter=38700, err=0.00540769
iter=38800, err=0.00533201
iter=38900, err=0.00525739
iter=39000, err=0.0051838
iter=39100, err=0.00511124
iter=39200, err=0.00503969
iter=39300, err=0.00496913
iter=39400, err=0.00489956
iter=39500, err=0.00483096
iter=39600, err=0.00476331
iter=39700, err=0.00469661
iter=39800, err=0.00463083
iter=39900, err=0.00456597
iter=40000, err=0.00450202
iter=40100, err=0.00443896
iter=40200, err=0.00437678
iter=40300, err=0.00431546
iter=40400, err=0.004255
iter=40500, err=0.00419538
iter=40600, err=0.0041366
iter=40700, err=0.00407864
iter=40800, err=0.00402148
iter=40900, err=0.00396512
iter=41000, err=0.00390955
iter=41100, err=0.00385476
iter=41200, err=0.00380073
iter=41300, err=0.00374745
iter=41400, err=0.00369492
iter=41500, err=0.00364312
iter=41600, err=0.00359205
iter=41700, err=0.00354168
iter=41800, err=0.00349203
iter=41900, err=0.00344306
iter=42000, err=0.00339479
iter=42100, err=0.00334718
iter=42200, err=0.00330024
iter=42300, err=0.00325396
iter=42400, err=0.00320832
iter=42500, err=0.00316333
iter=42600, err=0.00311896
iter=42700, err=0.00307521
iter=42800, err=0.00303207
iter=42900, err=0.00298954
iter=43000, err=0.0029476
iter=43100, err=0.00290625
iter=43200, err=0.00286548
iter=43300, err=0.00282528
iter=43400, err=0.00278564
iter=43500, err=0.00274655
iter=43600, err=0.00270801
iter=43700, err=0.00267001
iter=43800, err=0.00263255
iter=43900, err=0.0025956
iter=44000, err=0.00255918
iter=44100, err=0.00252326
iter=44200, err=0.00248785
iter=44300, err=0.00245294
iter=44400, err=0.00241851
iter=44500, err=0.00238456
iter=44600, err=0.00235109
iter=44700, err=0.00231809
iter=44800, err=0.00228555
iter=44900, err=0.00225347
iter=45000, err=0.00222183
iter=45100, err=0.00219064
iter=45200, err=0.00215989
iter=45300, err=0.00212957
iter=45400, err=0.00209967
iter=45500, err=0.00207019
iter=45600, err=0.00204112
iter=45700, err=0.00201246
iter=45800, err=0.00198421
iter=45900, err=0.00195635
iter=46000, err=0.00192888
iter=46100, err=0.00190179
iter=46200, err=0.00187508
iter=46300, err=0.00184875
iter=46400, err=0.00182279
iter=46500, err=0.00179719
iter=46600, err=0.00177195
iter=46700, err=0.00174707
iter=46800, err=0.00172253
iter=46900, err=0.00169834
iter=47000, err=0.00167449
iter=47100, err=0.00165097
iter=47200, err=0.00162778
iter=47300, err=0.00160492
iter=47400, err=0.00158237
iter=47500, err=0.00156015
iter=47600, err=0.00153823
iter=47700, err=0.00151662
iter=47800, err=0.00149532
iter=47900, err=0.00147431
iter=48000, err=0.0014536
iter=48100, err=0.00143318
iter=48200, err=0.00141305
iter=48300, err=0.0013932
iter=48400, err=0.00137362
iter=48500, err=0.00135433
iter=48600, err=0.0013353
iter=48700, err=0.00131654
iter=48800, err=0.00129804
iter=48900, err=0.0012798
iter=49000, err=0.00126182
iter=49100, err=0.00124409
iter=49200, err=0.00122661
iter=49300, err=0.00120938
iter=49400, err=0.00119239
iter=49500, err=0.00117563
iter=49600, err=0.00115911
iter=49700, err=0.00114283
iter=49800, err=0.00112677
iter=49900, err=0.00111093
iter=50000, err=0.00109532
iter=50100, err=0.00107993
iter=50200, err=0.00106475
iter=50300, err=0.00104979
iter=50400, err=0.00103504
iter=50500, err=0.00102049
iter=50600, err=0.00100615
iter=50700, err=0.000992012
iter=50800, err=0.000978071
iter=50900, err=0.000964325
iter=51000, err=0.000950773
iter=51100, err=0.000937411
iter=51200, err=0.000924236
iter=51300, err=0.000911246
iter=51400, err=0.000898439
iter=51500, err=0.000885812
iter=51600, err=0.000873362
iter=51700, err=0.000861087
iter=51800, err=0.000848984
iter=51900, err=0.000837051
iter=52000, err=0.000825286
iter=52100, err=0.000813687
iter=52200, err=0.00080225
iter=52300, err=0.000790973
iter=52400, err=0.000779855
iter=52500, err=0.000768894
iter=52600, err=0.000758086
iter=52700, err=0.00074743
iter=52800, err=0.000736924
iter=52900, err=0.000726565
iter=53000, err=0.000716352
iter=53100, err=0.000706282
iter=53200, err=0.000696354
iter=53300, err=0.000686566
iter=53400, err=0.000676914
iter=53500, err=0.000667399
iter=53600, err=0.000658017
iter=53700, err=0.000648767
iter=53800, err=0.000639647
iter=53900, err=0.000630655
iter=54000, err=0.000621789
iter=54100, err=0.000613048
iter=54200, err=0.00060443
iter=54300, err=0.000595933
iter=54400, err=0.000587555
iter=54500, err=0.000579295
iter=54600, err=0.000571151
iter=54700, err=0.000563121
iter=54800, err=0.000555205
iter=54900, err=0.000547399
iter=55000, err=0.000539704
iter=55100, err=0.000532116
iter=55200, err=0.000524635
